date,price,open,high,low,volume,relative_change
2004-02-29,1126.2,1144.9,1163.2,1087.1,,-0.0163
2004-01-31,1144.9,1131.1,1159,1124.4,,0.0122
2003-12-31,1131.1,1111.9,1155.4,1105.1,,0.0173
2003-11-30,1111.9,1058.2,1112.6,1053.4,,0.0507
2003-10-31,1058.2,1050.7,1063.7,1031.2,,0.0071
2003-09-30,1050.7,996,1053.8,996,,0.0549
2003-08-31,996,1008,1040.3,990.4,,-0.0119
2003-07-31,1008,990.3,1011,960.8,,0.0179
2003-06-30,990.3,974.5,1015.4,962.1,,0.0162
2003-05-31,974.5,963.6,1015.3,963.6,,0.0113
2003-04-30,963.6,916.9,965.4,902.8,,0.0509
2003-03-31,916.9,848.2,924.2,847.9,,0.081
2003-02-28,848.2,841.1,895.9,788.9,,0.0084
2003-01-31,841.1,855.7,864.6,806.3,,-0.0171
2002-12-31,855.7,879.8,935,840.3,,-0.0274
2002-11-30,879.8,936.3,954.3,869.5,,-0.0603
2002-10-31,936.3,885.8,941.8,872,,0.057
2002-09-30,885.8,815.3,907.4,768.6,,0.0865
2002-08-31,815.3,916.1,924,800.2,,-0.11
2002-07-31,916.1,911.6,965,833.4,,0.0049
2002-06-30,911.6,989.8,994.5,775.7,,-0.079
2002-05-31,989.8,1067.1,1070.7,952.9,,-0.0724
2002-04-30,1067.1,1076.9,1106.6,1049,,-0.0091
2002-03-31,1076.9,1146,1147.8,1063.5,,-0.0614
2002-02-28,1147.4,1108.7,1173.9,1108.7,,0.0368
2002-01-31,1106.7,1127.4,1130.2,1074.4,,-0.0208
2001-12-31,1130.2,1149,1177,1081.7,,-0.0156
2001-11-30,1148.1,1139.5,1173.6,1114.5,,0.0075
2001-10-31,1139.5,1063.1,1163.4,1054.3,,0.0752
2001-09-30,1059.8,1037.9,1110.6,1026.8,,0.0182
2001-08-31,1040.9,1133.6,1155.4,944.8,,-0.0818
2001-07-31,1133.6,1211.2,1226.3,1124.9,,-0.0641
2001-06-30,1211.2,1224.4,1239.8,1165.5,,-0.0108
2001-05-31,1224.4,1255.8,1286.6,1203,,-0.025
2001-04-30,1255.8,1249.5,1315.9,1232,,0.005
2001-03-31,1249.5,1160.3,1269.3,1092,,0.0769
2001-02-28,1160.3,1239.9,1267.4,1081.2,,-0.0642
2001-01-31,1239.9,1366,1376.4,1215.4,,-0.0923
2000-12-31,1366,1320.3,1383.4,1274.6,,0.0346
2000-11-30,1320.3,1315,1389,1254.1,,0.004
2000-10-31,1315,1429.4,1438.5,1294.9,,-0.08
2000-09-30,1429.4,1436.5,1454.8,1305.8,,-0.0049
2000-08-31,1436.5,1517.7,1530,1419.5,,-0.0535
2000-07-31,1517.7,1430.8,1525.3,1426,,0.0607
2000-06-30,1430.8,1454.6,1517.2,1414.2,,-0.0164
2000-05-31,1454.6,1420.6,1489,1420.6,,0.0239
2000-04-30,1420.6,1452.4,1481.4,1361.2,,-0.0219
2000-03-31,1452.4,1498.6,1527.1,1339.4,,-0.0308
2000-02-29,1498.6,1366.4,1553.1,1346.5,,0.0968
2000-01-31,1366.4,1394.5,1444.4,1325,,-0.0202
1999-12-31,1394.5,1469.2,1478,1350,,-0.0508
1999-11-30,1469.2,1388.9,1473.1,1387.5,,0.0578
1999-10-31,1388.9,1362.9,1425.3,1346.4,,0.0191
1999-09-30,1362.9,1282.7,1373.2,1233.7,,0.0625
1999-08-31,1282.7,1320.4,1361.3,1256.3,,-0.0286
1999-07-31,1320.4,1328.7,1382.8,1267.7,,-0.0062
1999-06-30,1328.7,1372.7,1420.3,1328.5,,-0.0321
1999-05-31,1372.7,1301.8,1372.9,1277.5,,0.0545
1999-04-30,1301.8,1335.2,1376,1277.3,,-0.025
1999-03-31,1335.2,1286.4,1371.6,1282.6,,0.0379
1999-02-28,1286.4,1238.3,1323.8,1216,,0.0388
1999-01-31,1238.3,1279.6,1283.8,1211.9,,-0.0323
1998-12-31,1279.6,1229.2,1280.4,1205.5,,0.041
1998-11-30,1229.2,1163.6,1244.9,1136.9,,0.0564
1998-10-31,1163.6,1098.7,1193,1098.7,,0.0591
1998-09-30,1098.7,1017,1103.8,923.3,,0.0803
1998-08-31,1017,957.3,1066.1,940,,0.0624
1998-07-31,957.3,1120.7,1121.8,957.3,,-0.1458
1998-06-30,1120.7,1133.8,1190.6,1114.3,,-0.0116
1998-05-31,1133.8,1090.8,1145.2,1074.7,,0.0394
1998-04-30,1090.8,1111.8,1130.5,1074.4,,-0.0189
1998-03-31,1111.8,1101.8,1133,1076.7,,0.0091
1998-02-28,1101.8,1049.3,1113.1,1030.9,,0.05
1998-01-31,1049.3,980.3,1051.7,980.3,,0.0704
1997-12-31,980.3,970.4,992.6,912.8,,0.0102
1997-11-30,970.4,955.4,986.2,924.9,,0.0157
1997-10-31,955.4,914.6,964.5,900.6,,0.0446
1997-09-30,914.6,950.9,983.1,855.3,,-0.0345
1997-08-31,947.3,899.5,960.6,899.5,,0.0531
1997-07-31,899.5,954.3,964.2,893.3,,-0.0574
1997-06-30,954.3,885.1,957.7,884.5,,0.0782
1997-05-31,885.1,848.3,902.1,838.8,,0.0434
1997-04-30,848.3,801.3,851.9,793.2,,0.0587
1997-03-31,801.3,757.1,804.1,733.5,,0.0584
1997-02-28,757.1,790.8,814.9,756.1,,-0.0426
1997-01-31,790.8,786.2,817.7,773.4,,0.0059
1996-12-31,786.2,740.7,794.7,729.5,,0.0614
1996-11-30,740.7,757,761.8,716.7,,-0.0215
1996-10-31,757,705.3,762.1,701.3,,0.0733
1996-09-30,705.3,687.3,714.1,684.4,,0.0262
1996-08-31,687.3,652,690.9,644,,0.0541
1996-07-31,652,640,670.7,639.5,,0.0188
1996-06-30,640,670.6,675.9,605.9,,-0.0456
1996-05-31,670.6,669.1,680.3,658.8,,0.0022
1996-04-30,669.1,654.2,681.1,630.1,,0.0228
1996-03-31,654.2,645.5,656.7,624.1,,0.0135
1996-02-29,645.5,640.4,657,627.6,,0.008
1996-01-31,640.4,636,664.2,633.7,,0.0069
1995-12-31,636,615.9,636.2,597.3,,0.0326
1995-11-30,615.9,605.4,622.9,605,,0.0173
1995-10-31,605.4,581.5,608.7,581,,0.0411
1995-09-30,581.5,584.4,590.7,571.5,,-0.005
1995-08-31,584.4,561.9,587.6,561,,0.04
1995-07-31,561.9,562.1,565.6,553,,-0.0004
1995-06-30,562.1,544.8,565.4,542.5,,0.0318
1995-05-31,544.8,533.4,551.1,526,,0.0214
1995-04-30,533.4,514.8,533.4,513,,0.0363
1995-03-31,514.7,500.7,515.3,500.2,,0.028
1995-02-28,500.7,487.4,508.1,479.7,,0.0273
1995-01-31,487.4,470.4,489.2,469.3,,0.0361
1994-12-31,470.4,459.2,471.4,457.2,,0.0242
1994-11-30,459.3,453.6,462.7,442.9,,0.0123
1994-10-31,453.7,472.3,472.3,444.2,,-0.0396
1994-09-30,472.4,462.7,474.7,449.3,,0.021
1994-08-31,462.7,475.5,475.5,458.5,,-0.0269
1994-07-31,475.5,458.3,477.6,456.1,,0.0375
1994-06-30,458.3,444.3,459.3,443.6,,0.0315
1994-05-31,444.3,456.5,463.2,439.8,,-0.0267
1994-04-30,456.5,450.9,457.8,440.8,,0.0124
1994-03-31,450.9,445.7,452.8,435.9,,0.0114
1994-02-28,445.8,467.2,471.1,436.2,,-0.0456
1994-01-31,467.1,481.6,482.2,464.3,,-0.0301
1993-12-31,481.6,466.5,482.9,464.4,,0.0326
1993-11-30,466.4,461.9,471.3,461.4,,0.01
1993-10-31,461.8,467.8,469.1,454.4,,-0.0128
1993-09-30,467.8,458.9,471.1,456.4,,0.0194
1993-08-31,458.9,463.6,463.8,449.6,,-0.0101
1993-07-31,463.6,448.1,463.6,446.9,,0.0346
1993-06-30,448.1,450.5,451.1,441.4,,-0.0053
1993-05-31,450.5,450.2,455.6,442.5,,0.0007
1993-04-30,450.2,440.2,454.6,436.9,,0.0227
1993-03-31,440.2,451.7,452.6,432.3,,-0.0255
1993-02-28,451.7,443.4,456.8,441.1,,0.0187
1993-01-31,443.4,438.8,450,428.2,,0.0105
1992-12-31,438.8,435.7,442.7,426.9,,0.0071
1992-11-30,435.7,431.4,442.6,428.6,,0.01
1992-10-31,431.4,418.7,431.9,415.6,,0.0303
